Name,Lift,Zone,Difficulty,Features,Length,Starting Elevation,Ending Elevation
The Monster,Summit Quad,Taynton Bowl,Double Black,"Cliffs, Moguls",757,2433,2025
Heli High,Summit Quad,Taynton Bowl,Double Black,"Trees, Moguls",610,2346,2040
Ktunaxa,Summit Quad,Taynton Bowl,Double Black,"Moguls, Trees",532,2348,2064
Spectre,Summit Quad,Taynton Bowl,Double Black,"Trees, Cliffs",631,2371,2072
Kinbasket,Summit Quad,Taynton Bowl,Double Black,"Trees, Moguls",453,2326,2075
Jekyll & Hyde,Summit Quad,Taynton Bowl,Double Black,Cliffs,490,2346,2096
Whitetail,Summit Quad,Taynton Bowl,Double Black,"Trees, Moguls",446,2329,2103
B 1st,Summit Quad,Taynton Bowl,Double Black,"Trees, Moguls",419,2372,2143
Devil's Drop,Summit Quad,Taynton Bowl,Double Black,"Moguls, Cliffs",131,2358,2262
Outback Ridge,Summit Quad,Taynton Bowl,Double Black,Cat Track,1200,2367,2326
Turnpike 1,Summit Quad,Summit,Double Black,"Cliffs, Moguls",882,1958,1547
Landing Strip,Summit Quad,Taynton Bowl,Blue,"Cat Track, Moguls",509,1846,1741
Stumbock's,Summit Quad,Summit,Black,,1905,2301,1742
Laresser Lane,Summit Quad,Summit,Blue,Cat Track,1200,2007,1823
Messerli's Mile,Summit Quad,Summit,Blue,Moguls,640,2036,1823
White Room,Summit Quad,Summit,Double Black,"Moguls, Trees",404,2077,1885
Sidewinder Glades,Summit Quad,Summit,Double Black,"Trees, Moguls",818,2267,1957
Last Chance,Summit Quad,Summit,Black,Moguls,605,2213,1971
Hideaway,Summit Quad,Summit,Black,Trees,307,2170,2022
View of 1000 Peaks,Summit Quad,Summit,Black,Moguls,1200,2367,2037
Roy's Run,Summit Quad,Summit,Black,Moguls,789,2360,2096
Tree Time,Summit Quad,Summit,Black,"Trees, Moguls",488,2363,2136
Getmedown,Summit Quad,Summit,Blue,Cat Track,1500,2366,2164
HLH,Summit Quad,Summit,Black,Moguls,543,2360,2174
Outer Limits,Summit Quad,Summit,Double Black,"Trees, Moguls",381,2345,2208
Top of the World,Summit Quad,Summit,Black,Moguls,314,2371,2229
Zone 2,Summit Quad,Summit,Double Black,"Trees, Moguls",151,2347,2236
Gun Barrel,Summit Quad,Summit,Double Black,"Moguls, Trees",222,2370,2239
Trigger,Summit Quad,Summit,Double Black,"Trees, Moguls",258,2361,2246
Tight Spots,Summit Quad,Summit,Black,"Trees, Moguls",198,2360,2272
Dunes,Summit Quad,Extreme Dream Zone,Double Black,"Trees, Moguls",521,2153,1969
Toadstool,Summit Quad,Extreme Dream Zone,Double Black,,146,2106,2036
Fat Chance,Summit Quad,Extreme Dream Zone,Double Black,"Trees, Moguls",411,2189,2060
First Chance,Summit Quad,Extreme Dream Zone,Double Black,,579,2151,2077
Orca,Summit Quad,Extreme Dream Zone,Double Black,Cliffs,87,2239,2178
Champagne Surf,Summit Quad,Extreme Dream Zone,Double Black,,76,2193,2182
Cafe,Summit Quad,Extreme Dream Zone,Double Black,,60,2224,2191
Latte,Summit Quad,Extreme Dream Zone,Double Black,Cliffs,59,2236,2198
Mocha,Summit Quad,Extreme Dream Zone,Double Black,Cliffs,57,2244,2205
Elmo,Summit Quad,Extreme Dream Zone,Double Black,Cliffs,151,2290,2205
Bell's Landing,Summit Quad,Discovery Zone,Blue,Moguls,586,1360,1249
Fritz's,Sunbird Chair,Sunbird,Black,Moguls,1100,1535,1186
Boomerang,Sunbird Chair,Sunbird,Green,Cat Track,387,1237,1187
Out Rider,Sunbird Chair,Sunbird,Green,,1549,1598,1187
Sunbird,Sunbird Chair,Sunbird,Black,Moguls,1100,1593,1188
Detour,Sunbird Chair,Sunbird,Black,Moguls,73,1226,1193
Heaven Can Wait,Sunbird Chair,Sunbird,Blue,Moguls,1100,1582,1226
Chicken's Choice,Sunbird Chair,Sunbird,Blue,Cat Track,245,1281,1237
Little Dipper,Sunbird Chair,Sunbird,Blue,Moguls,1000,1587,1270
Whiskey Jack,Sunbird Chair,Sunbird,Black,Moguls,537,1479,1313
Secret Forest,Sunbird Chair,Sunbird,Blue,Trees,158,1531,1491
Eagle Glide,Toby Chair,Toby,Green,Terrain Park,475,1277,1159
New Timer,Toby Chair,Toby,Blue,,390,1275,1180
Over Easy,Toby Chair,Sunbird,Blue,Cat Track,804,1278,1185
Hoggsflats,Toby Chair,Mile 1,Green,Terrain Park,405,1276,1200
